Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
1000463,system_bt,9,[1000000],[1000000],['binder/android/bluetooth/IBluetooth.aidl'],DeviceGroup: Add new system API's to support Group UI.,closed
1000463,system_bt,6,[1000000],[1000000],['binder/android/bluetooth/IBluetooth.aidl'],Add broadcast active api,closed
1000463,system_bt,39,[1000000],[1000000],['binder/android/bluetooth/IBluetoothDeviceGroup.aidl'],Update Bluetooth permissions for internal APIS. (3/4),closed
1000463,system_bt,7,[1000000],[1000000],['binder/android/bluetooth/IBluetoothDeviceGroup.aidl'],DeviceGroup: AIDL Interface changes for dual mode devices.,closed
1000463,system_bt,139,[1000000],[1000000],"['binder/android/bluetooth/IBluetoothGroupCallback.aidl', 'binder/Android.bp', 'binder/android/bluetooth/DeviceGroup.aidl', 'binder/android/bluetooth/IBluetoothDeviceGroup.aidl']",DeviceGroup: AIDL Interface.,closed
1000463,system_bt,54,[1000000],[1000000],"['btif/src/btif_ble_advertiser.cc', 'service/test/low_energy_advertiser_unittest.cc', 'include/hardware/ble_advertiser.h', 'main/shim/le_advertising_manager.cc']",BLE Broadcast Isochronous channel support,closed
1000463,system_bt,17,[1000000],[1000000],"['bta/av/bta_av_main.cc', 'stack/a2dp/a2dp_codec_config.cc', 'include/hardware/bt_av.h']",A2dpSrc: Align legacy codec enumeration with AOSP(3/7),closed
1000463,system_bt,31,[1000000],[1000000],"['btif/src/btif_ble_scanner.cc', 'include/hardware/ble_scanner.h', 'service/test/low_energy_scanner_unittest.cc', 'binder/android/bluetooth/IBluetoothGatt.aidl', 'binder/android/bluetooth/le/IPeriodicAdvertisingCallback.aidl']",Periodic Adv Sync Transfer feature support,closed
1000463,system_bt,4,[1000000],[1000000],['apex/Android.bp'],bluetooth: select bluetooth modules by fully qualified namespace.,closed
1000463,system_bt,4,[1000000],[1000000],['binder/android/bluetooth/IBluetooth.aidl'],GAP: Reset bondingInitiatedLocally flag(3/3),closed
1000463,system_bt,1,[1000000],[1000000],['include/hardware/bt_common_types.h'],BLE: Group AD Type based filtering.,closed
1000463,system_bt,3,[1000000],[1000000],['include/hardware/bt_common_types.h'],Add scan filter for Transport Discovery data,closed
1000463,system_bt,16,[1000000],[1000000],"['stack/a2dp/a2dp_vendor.cc', 'stack/a2dp/a2dp_codec_config.cc', 'include/hardware/bt_av.h', 'stack/test/stack_a2dp_test.cc']",TWS-A2DP: Add TWS+ codec index,closed
1000463,system_bt,4,[1000000],[1000000],['binder/android/bluetooth/IBluetooth.aidl'],BT: API to update quiet mode status in Adapter service [3/3],closed
1000463,system_bt,16,[1000000],[1000000],"['stack/a2dp/a2dp_vendor.cc', 'stack/a2dp/a2dp_codec_config.cc', 'include/hardware/bt_av.h', 'stack/test/stack_a2dp_test.cc']",BT: Adding APTX-Adaptive codec to BT HAL,closed
1000463,system_bt,12,[1000000],[1000000],"['btif/src/btif_ble_scanner.cc', 'include/hardware/ble_scanner.h', 'service/test/low_energy_scanner_unittest.cc']",Add BLE Scan Phy parameter to scan API,closed
1000463,system_bt,44,[1000000],[1000000],['binder/android/bluetooth/IBluetooth.aidl'],Bluetooth: Add SDK API support for TWS feature (1),closed
1000463,packages_apps_Settings,19,[1000000],[1000000],"['src/com/android/settings/development/DevelopmentSettingsDashboardFragment.java', 'src/com/android/settings/development/bluetooth/BluetoothHDAudioPreferenceController.java', 'src/com/android/settings/development/bluetooth/BluetoothCodecDialogPreferenceController.java', 'src/com/android/settings/development/bluetooth/BluetoothQualityDialogPreferenceController.java']",A2dpSrc: Bluetooth codec Dev-UI support for QVA codecs,closed
