Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
195,kudu,14,[195],"[120, 195, 283]",['src/kudu/rpc/client_negotiation.cc'],KUDU-3297 fix RPC negotiations with cyrus-sasl-gssapi-2.1.27-5 and newer,closed
195,kudu,14,[195],"[120, 195, 283]",['src/kudu/rpc/client_negotiation.cc'],KUDU-3297 fix RPC negotiations with cyrus-sasl-gssapi-2.1.27-5 and newer,closed
195,kudu,2,"[217, 427]","[120, 195, 217, 427]",['java/gradle/dependencies.gradle'],[java] bump log4j up to 2.15.0 version,closed
195,kudu,104,[217],"[120, 195, 217]","['src/kudu/consensus/log_cache.cc', 'src/kudu/consensus/log_cache.h']",[consensus] minor clean-up on LogCache,closed
195,kudu,92,[217],"[120, 195, 217, 241]","['src/kudu/rpc/connection.cc', 'src/kudu/rpc/transfer.cc', 'src/kudu/rpc/transfer.h']","[rpc] style cleanup on transfer.{cc,h}",closed
658,kudu,36,"[195, 215]","[120, 195, 215, 658]","['src/kudu/client/client-test.cc', 'src/kudu/client/write_op.h']",[client] KUDU-2623 Expose table as public in WriteOp,closed
488,Impala-ASF,149,"[593, 344]","[255, 336, 344, 488, 544, 593]","['fe/src/main/java/org/apache/impala/analysis/UnionStmt.java', 'testdata/workloads/functional-query/queries/QueryTest/union.test']",IMPALA-11040: Remove unnecessary reset() method in class 'UnionStmt',closed
637,Impala-ASF,37,[255],[255],"['fe/src/main/java/org/apache/impala/analysis/UnionStmt.java', 'testdata/workloads/functional-query/queries/QueryTest/union.test']",IMPALA-11056: Create option to fail query on Java UDF exceptions,new
529,Impala-ASF,330,[269],"[255, 269, 336, 529]","['be/src/exec/hdfs-table-sink.cc', 'be/src/runtime/io/disk-io-mgr-test.cc', 'be/src/runtime/io/disk-io-mgr.cc', 'be/src/runtime/io/disk-io-mgr.h', 'be/src/util/hdfs-util.cc', 'be/src/util/hdfs-util.h', 'bin/impala-config.sh', 'fe/src/main/java/org/apache/impala/catalog/HdfsTable.java', 'fe/src/main/java/org/apache/impala/common/FileSystemUtil.java', 'java/executor-deps/pom.xml', 'java/pom.xml', 'testdata/bin/create-load-data.sh', 'testdata/bin/run-all.sh', 'testdata/cluster/node_templates/common/etc/hadoop/conf/core-site.xml.py', 'tests/authorization/test_ranger.py', 'tests/common/impala_test_suite.py', 'tests/common/skip.py', 'tests/custom_cluster/test_admission_controller.py', 'tests/custom_cluster/test_coordinators.py', 'tests/custom_cluster/test_hdfs_fd_caching.py', 'tests/custom_cluster/test_hive_parquet_codec_interop.py', 'tests/custom_cluster/test_hive_text_codec_interop.py', 'tests/custom_cluster/test_insert_behaviour.py', 'tests/custom_cluster/test_lineage.py', 'tests/custom_cluster/test_local_catalog.py', 'tests/custom_cluster/test_local_tz_conversion.py', 'tests/custom_cluster/test_metadata_replicas.py', 'tests/custom_cluster/test_metastore_service.py', 'tests/custom_cluster/test_parquet_max_page_header.py', 'tests/custom_cluster/test_permanent_udfs.py', 'tests/custom_cluster/test_query_retries.py', 'tests/custom_cluster/test_restart_services.py', 'tests/custom_cluster/test_topic_update_frequency.py', 'tests/data_errors/test_data_errors.py', 'tests/failure/test_failpoints.py', 'tests/metadata/test_catalogd_debug_actions.py', 'tests/metadata/test_compute_stats.py', 'tests/metadata/test_ddl.py', 'tests/metadata/test_hdfs_encryption.py', 'tests/metadata/test_hdfs_permissions.py', 'tests/metadata/test_hms_integration.py', 'tests/metadata/test_metadata_query_statements.py', 'tests/metadata/test_partition_metadata.py', 'tests/metadata/test_refresh_partition.py', 'tests/metadata/test_views_compatibility.py', 'tests/query_test/test_acid.py', 'tests/query_test/test_date_queries.py', 'tests/query_test/test_hbase_queries.py', 'tests/query_test/test_hdfs_caching.py', 'tests/query_test/test_insert_behaviour.py', 'tests/query_test/test_insert_parquet.py', 'tests/query_test/test_join_queries.py', 'tests/query_test/test_nested_types.py', 'tests/query_test/test_observability.py', 'tests/query_test/test_partitioning.py', 'tests/query_test/test_resource_limits.py', 'tests/query_test/test_scanners.py', 'tests/stress/test_acid_stress.py', 'tests/stress/test_ddl_stress.py', 'tests/util/filesystem_utils.py', 'tests/custom_cluster/test_event_processing.py', 'tests/metadata/test_reset_metadata.py', 'tests/metadata/test_stale_metadata.py']",IMPALA-10771: Add Tencent COS support,closed
595,Impala-ASF,1453,"[593, 595, 484, 255]","[593, 595, 484, 255]","['be/src/exec/hdfs-table-sink.cc', 'be/src/runtime/io/disk-io-mgr-test.cc', 'be/src/runtime/io/disk-io-mgr.cc', 'be/src/runtime/io/disk-io-mgr.h', 'be/src/util/hdfs-util.cc', 'be/src/util/hdfs-util.h', 'bin/impala-config.sh', 'fe/src/main/java/org/apache/impala/catalog/HdfsTable.java', 'fe/src/main/java/org/apache/impala/common/FileSystemUtil.java', 'java/executor-deps/pom.xml', 'java/pom.xml', 'testdata/bin/create-load-data.sh', 'testdata/bin/run-all.sh', 'testdata/cluster/node_templates/common/etc/hadoop/conf/core-site.xml.py', 'tests/authorization/test_ranger.py', 'tests/common/impala_test_suite.py', 'tests/common/skip.py', 'tests/custom_cluster/test_admission_controller.py', 'tests/custom_cluster/test_coordinators.py', 'tests/custom_cluster/test_hdfs_fd_caching.py', 'tests/custom_cluster/test_hive_parquet_codec_interop.py', 'tests/custom_cluster/test_hive_text_codec_interop.py', 'tests/custom_cluster/test_insert_behaviour.py', 'tests/custom_cluster/test_lineage.py', 'tests/custom_cluster/test_local_catalog.py', 'tests/custom_cluster/test_local_tz_conversion.py', 'tests/custom_cluster/test_metadata_replicas.py', 'tests/custom_cluster/test_metastore_service.py', 'tests/custom_cluster/test_parquet_max_page_header.py', 'tests/custom_cluster/test_permanent_udfs.py', 'tests/custom_cluster/test_query_retries.py', 'tests/custom_cluster/test_restart_services.py', 'tests/custom_cluster/test_topic_update_frequency.py', 'tests/data_errors/test_data_errors.py', 'tests/failure/test_failpoints.py', 'tests/metadata/test_catalogd_debug_actions.py', 'tests/metadata/test_compute_stats.py', 'tests/metadata/test_ddl.py', 'tests/metadata/test_hdfs_encryption.py', 'tests/metadata/test_hdfs_permissions.py', 'tests/metadata/test_hms_integration.py', 'tests/metadata/test_metadata_query_statements.py', 'tests/metadata/test_partition_metadata.py', 'tests/metadata/test_refresh_partition.py', 'tests/metadata/test_views_compatibility.py', 'tests/query_test/test_acid.py', 'tests/query_test/test_date_queries.py', 'tests/query_test/test_hbase_queries.py', 'tests/query_test/test_hdfs_caching.py', 'tests/query_test/test_insert_behaviour.py', 'tests/query_test/test_insert_parquet.py', 'tests/query_test/test_join_queries.py', 'tests/query_test/test_nested_types.py', 'tests/query_test/test_observability.py', 'tests/query_test/test_partitioning.py', 'tests/query_test/test_resource_limits.py', 'tests/query_test/test_scanners.py', 'tests/stress/test_acid_stress.py', 'tests/stress/test_ddl_stress.py', 'tests/util/filesystem_utils.py', 'tests/custom_cluster/test_event_processing.py', 'tests/metadata/test_reset_metadata.py', 'tests/metadata/test_stale_metadata.py']",IMPALA-10791 Add batching reading for remote temporary files,new
